"item","objecttitel","itemLabel","objectsoortLabel","beroepLabel","collectieLabel","floruit","werklocatieLabel","qid"
"http://www.wikidata.org/entity/Q135014997","Lijnentekening en spantenraam van de motorreddingboot Maria Carolina Blankenheim van 16.75 meter","J. Verweij","technische tekening","technisch tekenaar","Het Scheepvaartmuseum","1910","Vlaardingen","Q135014997"
"http://www.wikidata.org/entity/Q135014993","Tabellen met middellijnen en afstanden van klinknagels en van breedte der strippen cf Lloyd's Register","J.H. Loos","technische tekening","scheepsbouwkundig tekenaar","Het Scheepvaartmuseum","","Rotterdam","Q135014993"
"http://www.wikidata.org/entity/Q135014991","Algemeen plan van een motorvrachtschip","J. Goedkoop","technische tekening","scheepsbouwkundig tekenaar","Het Scheepvaartmuseum","1920","Delfzijl","Q135014991"
"http://www.wikidata.org/entity/Q135014986","Algemeen plan van een stoomraderboot","I.B. With","technische tekening","scheepsbouwkundig tekenaar","Het Scheepvaartmuseum","","Mainz","Q135014986"
"http://www.wikidata.org/entity/Q135014976","Schoorsteen van de ijsbreker ss. Christiaan Brunings","H.J. Koopman","technische tekening","scheepsbouwkundig tekenaar","Het Scheepvaartmuseum","1899","Dordrecht","Q135014976"
"http://www.wikidata.org/entity/Q135014963","Elektrische installatie van de scheepswerf 'De Rijn' van de firma P. Hoebée te Dordrecht","Cornelus Alewijnse","technische tekening","scheepsbouwkundig tekenaar","Het Scheepvaartmuseum","","Nijmegen","Q135014963"
"http://www.wikidata.org/entity/Q135014958","Het elevatietoestel Zr.Ms. 'Buffel'","C.H. Bogaert","technische tekening","scheepsbouwkundig tekenaar","Het Scheepvaartmuseum","1870","Glasgow","Q135014958"
"http://www.wikidata.org/entity/Q135014952","Algemeen plan van een stoomvrachtschip (projekt) van 215' [65.5 m] 1500 ton D.W","Adriaan A. Knecht","technische tekening","technisch tekenaar","Het Scheepvaartmuseum","1900","Amsterdam","Q135014952"
"http://www.wikidata.org/entity/Q135014948","Stoomankermachine met kaapstander; 'Emerson, Walker & Co.' patent","A. Heindrichs","technische tekening","scheepsbouwkundig tekenaar","Het Scheepvaartmuseum","1880","Amsterdam","Q135014948"
"http://www.wikidata.org/entity/Q135014950","Technische beschrijving van de drie tekeningen over de uitvinding van Abraham Wolferts, Bergen, Henegouwen, België","Abraham Wolferts","technische tekening","scheepsbouwkundig tekenaar","Het Scheepvaartmuseum","1850","Bergen","Q135014950"
