"item","objecttitel","itemLabel","objectsoortLabel","beroepLabel","collectieLabel","floruit","werklocatieLabel","qid"
"http://www.wikidata.org/entity/Q135300530","Blanco kaart voor de wijnsuggestie van de dag van de Holland-Amerika Lijn","I. Pluim Mentz","menukaart","grafisch ontwerper","Het Scheepvaartmuseum","1950","","Q135300530"
"http://www.wikidata.org/entity/Q135300514","Album bestaande uit Japanse zgn. Nagasaki-prenten met o.a. voorstellingen van Europeanen en Amerikanen","Hori-ki","album","houtbloksnijder","Het Scheepvaartmuseum","1900","","Q135300514"
"http://www.wikidata.org/entity/Q135300509","Factuur van Hermann Stux voor G. Brüning & Zoon te Amsterdam","Hermann Stux","factuur","","Het Scheepvaartmuseum","","Odessa","Q135300509"
"http://www.wikidata.org/entity/Q135300511","Lijnenplan en constructieplan van het stalen schokkerjacht Albatros van 9.84 meter","Herman Vreedenburgh","technische tekening","scheepsarchitect","Het Scheepvaartmuseum","1954","Ter Aar","Q135300511"
"http://www.wikidata.org/entity/Q135300505","Kaart van het oorlogsterrein in Groot-Atjeh","Henri J. Stemberg","prent","uitgever","Rijksmuseum Amsterdam","1875","Den Haag","Q135300505"
"http://www.wikidata.org/entity/Q135300507","Een Amerikaans brikschip in een baai in de Middellandse Zee","Henry Steward","tekening","tekenaar","Het Scheepvaartmuseum","1849","","Q135300507"
"http://www.wikidata.org/entity/Q135300506","The Royal Steam Yacht 'Victoria & Albert'","Henry John Vernon","prent","prentkunstenaar","Het Scheepvaartmuseum","1855","","Q135300506"
"http://www.wikidata.org/entity/Q135300494","Vessel entry and boarding procedure","Harry M. Durning","brochure","verzamelaar","Het Scheepvaartmuseum","","","Q135300494"
"http://www.wikidata.org/entity/Q135300484","Aanbiedingsbrief bij een factuur van H. van Morstein voor G. Brüning & Zoon te Amsterdam","Hugo von Morstein","brief","auteur","Het Scheepvaartmuseum","","Gdańsk","Q135300484"
"http://www.wikidata.org/entity/Q135300477","De haven van Antwerpen","H. Steinbach","prent","prentkunstenaar","Rijksmuseum Amsterdam","1840","Antwerpen","Q135300477"
