"item","objecttitel","itemLabel","objectsoortLabel","beroepLabel","collectieLabel","floruit","werklocatieLabel","qid"
"http://www.wikidata.org/entity/Q135300857","Zijaanzicht (kampagnen, brugdek en bakdek) van de schroefstoomschepen voor de Gouvernementsmarine Zr.Ms. 'Havik' en Zr.Ms. 'Zeemeeuw'","J. von Lesser","technische tekening","","Het Scheepvaartmuseum","1886","","Q135300857"
"http://www.wikidata.org/entity/Q135300850","De maand Februari","L. van Gerrevinck","prent","papierhandelaar","Het Scheepvaartmuseum","","","Q135300850"
"http://www.wikidata.org/entity/Q135300845","Een kwekeling voor de zeevaart, omstreeks 1850","L. Smeenk","prent","prentkunstenaar","Het Scheepvaartmuseum","1850","","Q135300845"
"http://www.wikidata.org/entity/Q135300839","Het vrachtschip ss. Scheldestroom van de Hollandsche Stoomboot Maatschappij (HSM)","L. Kroes","tekening","tekenaar","Het Scheepvaartmuseum","1903","","Q135300839"
"http://www.wikidata.org/entity/Q135300832","Brief van L. A. Breijer aan Mevrouw D. Legger van Peer over het overlijden van tweede officier Legger, 1941","L.A. Breijer","brief","briefschrijver","Het Scheepvaartmuseum","1941","Amsterdam","Q135300832"
"http://www.wikidata.org/entity/Q135300834","Rapport over het breken van de trossen van het ss. 'Nieuw Amsterdam'","L. Dekker","rapport","","Het Scheepvaartmuseum","","Amsterdam","Q135300834"
"http://www.wikidata.org/entity/Q135300831","Beschrijving en tekening voor het maken van een sleephellingvoor de werf 'Het Jacht'","Koning","beschrijving","","Het Scheepvaartmuseum","","Amsterdam","Q135300831"
"http://www.wikidata.org/entity/Q135300830","Ontwerptekening voor de omslag van een menukaart van de Java Pacific Line, voorstellend een zeepaardje, een zeester en een schelp","Klaas Bosch","tekening","tekenaar","Het Scheepvaartmuseum","1950","","Q135300830"
"http://www.wikidata.org/entity/Q135300824","Engelse officier en raderstoomschip","Karahito","prent","houtsnijder","Het Scheepvaartmuseum","1860","","Q135300824"
"http://www.wikidata.org/entity/Q135300822","Gezicht op een Nederlandse rede met links een brik onderzeil","K. Zwollo","tekening","tekenaar","Het Scheepvaartmuseum","1880","","Q135300822"
