"item","objecttitel","itemLabel","objectsoortLabel","beroepLabel","collectieLabel","floruit","werklocatieLabel","qid"
"http://www.wikidata.org/entity/Q135300897","Menukaart voor diner aan boord van het ss. 'Volendam' van de Holland-Amerika Lijn op 9 augustus 1937","M. Setelik","menukaart","grafisch ontwerper","Het Scheepvaartmuseum","1937","","Q135300897"
"http://www.wikidata.org/entity/Q135300893","Wissel van M. Schmierer voor G. Brüning & Zoon te Amsterdam","M. Schmierer","wissel","","Het Scheepvaartmuseum","","Galați","Q135300893"
"http://www.wikidata.org/entity/Q135300889","Kwitantie van M.L. Ginzberg voor G. Brüning & Zoon te Amsterdam","M.L. Ginzberg","kwitantie","","Het Scheepvaartmuseum","","Koningsbergen","Q135300889"
"http://www.wikidata.org/entity/Q135300888","Het vrachtschip met passagiersaccommodatie ms. ""Bloemfontein""","M. Kattenberg","tekening","tekenaar","Het Scheepvaartmuseum","1939","","Q135300888"
"http://www.wikidata.org/entity/Q135300884","Scrapbook met oa prentbriefkaarten en foto's van reizen gemaakt door M.H. ten Kuilen in 1907-1908 naar Nederlands-Indië","M.H. ten Kuilen","fotoalbum","fotograaf","Het Scheepvaartmuseum","1907","","Q135300884"
"http://www.wikidata.org/entity/Q135300874","Factuur van M. Blumstein voor G. Brüning & Zoon te Amsterdam","M. Blümstein","factuur","","Het Scheepvaartmuseum","","Koningsbergen","Q135300874"
"http://www.wikidata.org/entity/Q135300869","Een Frans raderstoomschip","M.A. Padtberg","tekening","tekenaar","Het Scheepvaartmuseum","1865","","Q135300869"
"http://www.wikidata.org/entity/Q135300871","Schepen in de Parkhaven te Rotterdam","M. Barnas","prent","etser","Het Scheepvaartmuseum","1930","","Q135300871"
"http://www.wikidata.org/entity/Q135300870","Het vertrek van het kofschip Sara Jacoba van Elseneur naar Koningsbergen","M. Appel","tekening","gouachist","Fries Scheepvaart Museum","1880","","Q135300870"
"http://www.wikidata.org/entity/Q135300857","Zijaanzicht (kampagnen, brugdek en bakdek) van de schroefstoomschepen voor de Gouvernementsmarine Zr.Ms. 'Havik' en Zr.Ms. 'Zeemeeuw'","J. von Lesser","technische tekening","","Het Scheepvaartmuseum","1886","","Q135300857"
