"item","objecttitel","itemLabel","objectsoortLabel","beroepLabel","collectieLabel","floruit","werklocatieLabel","qid"
"http://www.wikidata.org/entity/Q135300183","Stukken over een 48 ft stalen motorjacht","C. Stickell","brief","auteur","Het Scheepvaartmuseum","","","Q135300183"
"http://www.wikidata.org/entity/Q135300182","De brik Zr.Ms. 'Haai' met gescheurd bij zwaar weer in de Caribïsche zee","C. Slicker","tekening","tekenaar","Het Scheepvaartmuseum","1842","","Q135300182"
"http://www.wikidata.org/entity/Q135300179","'The Wellington', Capt. James Liddell, of Dover","C. Rosenburch","prent","prentkunstenaar","Het Scheepvaartmuseum","1840","","Q135300179"
"http://www.wikidata.org/entity/Q135300178","De stoomschepen "" W.A. Scholten"" en 'P. Caland""","C.R. Parsons","prent","prentkunstenaar","Het Scheepvaartmuseum","","","Q135300178"
"http://www.wikidata.org/entity/Q135300168","Schip, varend voor een kust","C. Kornelissen","tekening","tekenaar","Het Scheepvaartmuseum","","","Q135300168"
"http://www.wikidata.org/entity/Q135300171","Bauvorschrift für den Schiffskörper und Turbinen- und Kesselanlage für ein Torpedoboote","C. Meister","bestek","auteur","Het Scheepvaartmuseum","","","Q135300171"
"http://www.wikidata.org/entity/Q135300165","Aankomst te Ceylon van de sloep 'SB 3' van de 'Koning der Nederlanden'","C. Keizer","prent","prentkunstenaar","Het Scheepvaartmuseum","1881","","Q135300165"
"http://www.wikidata.org/entity/Q135300166","Fotoalbum met persoonlijke foto's van C. Kok gemaakt als 3e en 2e WTK op ms. 'Maaskerk' en 'Aagtekerk' van de VNS","C. Kok","fotoalbum","fotograaf","Het Scheepvaartmuseum","1941","","Q135300166"
"http://www.wikidata.org/entity/Q135300161","Kwitantie afgegeven door C.J. Hegemeijer te Amsterdam voor de ontvangst van G. Bruning & Zn","C.J. Hegemeijer","kwitantie","","Het Scheepvaartmuseum","","Amsterdam","Q135300161"
"http://www.wikidata.org/entity/Q135300163","Het raderstoomschip Zr.Ms. 'Batavia'","C.J. Vos","tekening","tekenaar","Het Scheepvaartmuseum","1845","","Q135300163"
