"item","objecttitel","itemLabel","objectsoortLabel","beroepLabel","collectieLabel","floruit","werklocatieLabel","qid"
"http://www.wikidata.org/entity/Q135300595","Brieven van J. Feteris te Leeuwarden","J. Feteris","brief","briefschrijver","Het Scheepvaartmuseum","1914","Leeuwarden","Q135300595"
"http://www.wikidata.org/entity/Q135300587","Het pantserschip Hr.Ms. 'Jacob van Heemskerck'","J.E. 't Hooft","tekening","tekenaar","Het Scheepvaartmuseum","1917","","Q135300587"
"http://www.wikidata.org/entity/Q135300576","Eerste album met foto's van J.C. Schroder","J.C. Schroder","fotoalbum","fotograaf","Het Scheepvaartmuseum","1929","","Q135300576"
"http://www.wikidata.org/entity/Q135300578","Specification for a steel screw barge","J. Constant","bestek","auteur","Het Scheepvaartmuseum","","Londen","Q135300578"
"http://www.wikidata.org/entity/Q135300571","Ingekomen brieven inzake 'Ontwerp nieuwe Hoogte- en Azimuthtafel'","J.C. Lieuwen","brief","auteur","Het Scheepvaartmuseum","1946","Naarden","Q135300571"
"http://www.wikidata.org/entity/Q135300564","Zeilwedstrijd op zee","J. Bernhard jr.","tekening","tekenaar","Het Scheepvaartmuseum","","","Q135300564"
"http://www.wikidata.org/entity/Q135300545","Carte des phares des cotes de France","Isidore Dalmont","lichtenkaart","lettergraveur","Het Scheepvaartmuseum","1855","Parijs","Q135300545"
"http://www.wikidata.org/entity/Q135300530","Blanco kaart voor de wijnsuggestie van de dag van de Holland-Amerika Lijn","I. Pluim Mentz","menukaart","grafisch ontwerper","Het Scheepvaartmuseum","1950","","Q135300530"
"http://www.wikidata.org/entity/Q135300514","Album bestaande uit Japanse zgn. Nagasaki-prenten met o.a. voorstellingen van Europeanen en Amerikanen","Hori-ki","album","houtbloksnijder","Het Scheepvaartmuseum","1900","","Q135300514"
"http://www.wikidata.org/entity/Q135300509","Factuur van Hermann Stux voor G. Brüning & Zoon te Amsterdam","Hermann Stux","factuur","","Het Scheepvaartmuseum","","Odessa","Q135300509"
