"item","objecttitel","itemLabel","objectsoortLabel","beroepLabel","collectieLabel","floruit","werklocatieLabel","qid"
"http://www.wikidata.org/entity/Q135300934","Een drijvende kazemat","N. van der Heijden","tekening","tekenaar","Het Scheepvaartmuseum","","","Q135300934"
"http://www.wikidata.org/entity/Q135300929","Een schroefstoomschip onder stoom en zeil","N.J. Roosenboom","tekening","tekenaar","Het Scheepvaartmuseum","1864","","Q135300929"
"http://www.wikidata.org/entity/Q135300931","Tuigtekening van het fregatschip Philips van Marnix","N. Naujoks","tekening","tekenaar","Het Scheepvaartmuseum","1864","","Q135300931"
"http://www.wikidata.org/entity/Q135300925","Aanbiedingsbrief behorend bij een cognossement van N. Dresdner te Königsberg","N. Dresdner","brief","auteur","Het Scheepvaartmuseum","","Koningsbergen","Q135300925"
"http://www.wikidata.org/entity/Q135300927","Het fregatschip 'Henriette Louise'","N.H. Pronk","tekening","tekenaar","Het Scheepvaartmuseum","1867","","Q135300927"
"http://www.wikidata.org/entity/Q139050657","Zwaard van een Japanse legerofficier. Type shin-gunto model 1937","Kajihara Hiromitsu","zwaard","zwaardsmid","Het Scheepvaartmuseum","","","Q139050657"
"http://www.wikidata.org/entity/Q135301230","Blanco menukaart gebruikt aan boord van schepen van de SMN ter gelegenheid van Koninginnedag op 30 april","Ziegler","menukaart","grafisch ontwerper","Het Scheepvaartmuseum","1920","","Q135301230"
"http://www.wikidata.org/entity/Q135301220","De Britse vloot revue bij Spithead in juli 1853","William Little","prent","uitgever","Het Scheepvaartmuseum","1850","Londen","Q135301220"
"http://www.wikidata.org/entity/Q135301212","Een fluitschip","W. Wright","prent","prentkunstenaar","Het Scheepvaartmuseum","","","Q135301212"
"http://www.wikidata.org/entity/Q135301209","Stukken over het installeren van slingerdempingsvinnen op het Koninklijk jacht 'Piet Hein'","W.W. Kuyck","bestek","auteur","Het Scheepvaartmuseum","","","Q135301209"
