"item","objecttitel","itemLabel","objectsoortLabel","beroepLabel","collectieLabel","floruit","werklocatieLabel","qid"
"http://www.wikidata.org/entity/Q135241138","Stukken over het motorzeiljacht 'Giriz II'","A. von Felbert","brief","schrijver","Het Scheepvaartmuseum","","","Q135241138"
"http://www.wikidata.org/entity/Q135241133","Album met foto's gemaakt aan boord van diverse schepen van de KNSM van kelner Gerhardus Pieter Jansen","A.T. van Hooijdonk","fotoalbum","boekbinder","Het Scheepvaartmuseum","","","Q135241133"
"http://www.wikidata.org/entity/Q135241132","De hoekerschepen Zeelust, de Zeebouwerij en de Vrede","A. Stolk","tekening","tekenaar","Het Scheepvaartmuseum","","","Q135241132"
"http://www.wikidata.org/entity/Q135241129","Stukken over de voordracht gehouden door E. Crone getiteld 'De navigatiemiddelen van Willem Barents'","A.J.M. van Ginkel","brief","schrijver","Het Scheepvaartmuseum","","","Q135241129"
"http://www.wikidata.org/entity/Q135241128","Offerte aanvraag van de Gron. Roeivereeniging De Hunze te Groningen","A.H. Burger","brief","secretaris","Het Scheepvaartmuseum","","Groningen","Q135241128"
"http://www.wikidata.org/entity/Q135241131","Stukken over de bouw van het motorzeiljacht 'Susanlin'","A. Leyten","brief","schrijver","Het Scheepvaartmuseum","","","Q135241131"
"http://www.wikidata.org/entity/Q135241125","Een scheepskanon op rolpaard met bijbehorende munitie en gereedschappen","A. 't Hooft","tekening","tekenaar","Het Scheepvaartmuseum","","","Q135241125"
"http://www.wikidata.org/entity/Q135241127","Opnamen (fragmenten) gemaakt aan boord van het opnemingsvaartuig Hydrograaf, 1934","A.F. Elbers","film","filmmaker","Het Scheepvaartmuseum","1934","","Q135241127"
"http://www.wikidata.org/entity/Q135037361","Reconstructie tekening van een buis (1630) met afmetingen 52 x 13.6 x 8 voet","Willem Witsen","technische tekening","scheepsbouwkundig tekenaar","Het Scheepvaartmuseum","","","Q135037361"
"http://www.wikidata.org/entity/Q135037363","Langsdoorsnede, bovenaanzicht en vooraanzicht van ""Thompson and Noble's improved slipway"" (1868)","W Smith","technische tekening","scheepsbouwkundig tekenaar","Het Scheepvaartmuseum","1868","","Q135037363"
