"item","objecttitel","itemLabel","objectsoortLabel","beroepLabel","collectieLabel","floruit","werklocatieLabel","qid"
"http://www.wikidata.org/entity/Q135300881","Het raderstoomschip 'Le Castor'","E. Renaud","prent","constructeur","Het Scheepvaartmuseum","1835","","Q135300881"
"http://www.wikidata.org/entity/Q135300874","Factuur van M. Blumstein voor G. Brüning & Zoon te Amsterdam","M. Blümstein","factuur","","Het Scheepvaartmuseum","","Koningsbergen","Q135300874"
"http://www.wikidata.org/entity/Q135300869","Een Frans raderstoomschip","M.A. Padtberg","tekening","tekenaar","Het Scheepvaartmuseum","1865","","Q135300869"
"http://www.wikidata.org/entity/Q135300871","Schepen in de Parkhaven te Rotterdam","M. Barnas","prent","etser","Het Scheepvaartmuseum","1930","","Q135300871"
"http://www.wikidata.org/entity/Q135300870","Het vertrek van het kofschip Sara Jacoba van Elseneur naar Koningsbergen","M. Appel","tekening","gouachist","Fries Scheepvaart Museum","1880","","Q135300870"
"http://www.wikidata.org/entity/Q135300857","Zijaanzicht (kampagnen, brugdek en bakdek) van de schroefstoomschepen voor de Gouvernementsmarine Zr.Ms. 'Havik' en Zr.Ms. 'Zeemeeuw'","J. von Lesser","technische tekening","","Het Scheepvaartmuseum","1886","","Q135300857"
"http://www.wikidata.org/entity/Q135300850","De maand Februari","L. van Gerrevinck","prent","papierhandelaar","Het Scheepvaartmuseum","","","Q135300850"
"http://www.wikidata.org/entity/Q135300845","Een kwekeling voor de zeevaart, omstreeks 1850","L. Smeenk","prent","prentkunstenaar","Het Scheepvaartmuseum","1850","","Q135300845"
"http://www.wikidata.org/entity/Q135300839","Het vrachtschip ss. Scheldestroom van de Hollandsche Stoomboot Maatschappij (HSM)","L. Kroes","tekening","tekenaar","Het Scheepvaartmuseum","1903","","Q135300839"
"http://www.wikidata.org/entity/Q135300832","Brief van L. A. Breijer aan Mevrouw D. Legger van Peer over het overlijden van tweede officier Legger, 1941","L.A. Breijer","brief","briefschrijver","Het Scheepvaartmuseum","1941","Amsterdam","Q135300832"
