"item","objecttitel","itemLabel","objectsoortLabel","beroepLabel","collectieLabel","floruit","werklocatieLabel","qid"
"http://www.wikidata.org/entity/Q135241436","Brief van de KNSM, afdeling Scheepszaken aan de Kapitein (D. van Molenbroek) van ms. ""Pygmalion""","Zevensma","brief","schrijver","Het Scheepvaartmuseum","","Amsterdam","Q135241436"
"http://www.wikidata.org/entity/Q135241435","'Amsterdam Amstelstad, maar ook Rijnstad'","W. Kötner","film","filmmaker","Het Scheepvaartmuseum","1950","","Q135241435"
"http://www.wikidata.org/entity/Q135241425","De radersleepboot 'Stad Arnhem'","W. van Dongen","tekening","tekenaar","Het Scheepvaartmuseum","1872","","Q135241425"
"http://www.wikidata.org/entity/Q135241427","'Clearway to Progress'","Wilco Neehus","film","producent","Het Scheepvaartmuseum","1950","","Q135241427"
"http://www.wikidata.org/entity/Q135241421","Westeinderplassen","W. Plasschaert","kaart","tekenaar","Het Scheepvaartmuseum","1919","Aalsmeer","Q135241421"
"http://www.wikidata.org/entity/Q135241423","Rapport opgemaakt aan boord van het ss. 'Nieuw Amsterdam' over het onwelvoegelijk gedrag van Mevrouw Pluygers","W. Steensma","rapport","scheepsarts","Het Scheepvaartmuseum","","","Q135241423"
"http://www.wikidata.org/entity/Q135241409","Kelkglas met een diamantgravure van het kopjacht Apollo","T.B.A. Buren","drinkglas","glasgraveerder","Het Scheepvaartmuseum","1847","Nederland","Q135241409"
"http://www.wikidata.org/entity/Q135241411","Bijlbrief over het barkschip Aletta Augusta","Theodor Wilhelm Cramer","bijlbrief","notaris","Het Scheepvaartmuseum","","Weener","Q135241411"
"http://www.wikidata.org/entity/Q135241393","De ondergang van de Tubantia","Rudolf Schreuder","boek","pursor","Het Scheepvaartmuseum","1929","","Q135241393"
"http://www.wikidata.org/entity/Q135241381","Scheepswerf Westhof","P. Paats","schilderij","kunstschilder","Het Scheepvaartmuseum","","","Q135241381"
