"item","objecttitel","itemLabel","objectsoortLabel","beroepLabel","collectieLabel","floruit","werklocatieLabel","qid"
"http://www.wikidata.org/entity/Q135300429","Album met fotos van de deelneemsters aan een roei- en zeilkamp voor meisjes","H. De Koning","fotoalbum","fotograaf","Het Scheepvaartmuseum","1937","","Q135300429"
"http://www.wikidata.org/entity/Q135300425","Het fregatschip 'Europa'","H. Bouwhuis","tekening","tekenaar","Het Scheepvaartmuseum","1920","","Q135300425"
"http://www.wikidata.org/entity/Q135300427","Portret van Kapitein-Luitenant-ter-Zee N.J. Arriëns op de rug gezien","H. de Booy","tekening","tekenaar","Het Scheepvaartmuseum","1872","","Q135300427"
"http://www.wikidata.org/entity/Q135300420","Stukken treffende de bouw en levering van een zeelichter","H. Bernhard Nzn","brief","correspondent","Het Scheepvaartmuseum","1916","Nieuwendam","Q135300420"
"http://www.wikidata.org/entity/Q135300417","Het vrachtschip met passagiersaccommodatie ss. 'Meliskerk' van de VNS","H.A. Nielse","tekening","tekenaar","Het Scheepvaartmuseum","1928","","Q135300417"
"http://www.wikidata.org/entity/Q135300418","Ontwerp voor een affiche van de Rotterdamsche Lloyd","H.A. Willems","tekening","affichist","Het Scheepvaartmuseum","1925","","Q135300418"
"http://www.wikidata.org/entity/Q135300412","Album bestaande uit Japanse zgn. Nagasaki-prenten met o.a. voorstellingen van Europeanen en Amerikanen","Tenju Gyokuen","album","prentkunstenaar","British Museum","","","Q135300412"
"http://www.wikidata.org/entity/Q135300397","Fotoalbum c.q. reisverslag van twee vakantiereizen van het echtpaar Kees en Gé Brouwer, 1952-1953","Gé Brouwer","fotoalbum","auteur","Het Scheepvaartmuseum","1953","","Q135300397"
"http://www.wikidata.org/entity/Q135300387","Het zesmeterjacht 'Prinses Juliana'","G. Vos","tekening","tekenaar","Het Scheepvaartmuseum","","","Q135300387"
"http://www.wikidata.org/entity/Q135300385","Graanoverslag in haven, havengezicht met elevator en driemaster","G. van Puffelen","prent","prentkunstenaar","Het Scheepvaartmuseum","1920","","Q135300385"
